period,year,scenario,demand,supply_renewable,supply_generator,supply_grid_import,supply_battery_discharge,supply_lost_load,sink_battery_charge,sink_grid_export,balance_lhs,balance_residual
0,2026,scenario_1,17.312,0.0,0.0,0.0,17.312,0.0,0.0,0.0,17.312,0.0
0,2027,scenario_1,18.1776,0.0,0.0,18.1776,0.0,0.0,0.0,0.0,18.1776,0.0
0,2028,scenario_1,19.08648,0.0,0.0,19.08648,0.0,0.0,0.0,0.0,19.08648,0.0
0,2029,scenario_1,20.040804,0.0,0.0,20.040804,0.0,0.0,0.0,0.0,20.040804,0.0
0,2030,scenario_1,21.0428442,0.0,0.0,21.0428442,0.0,0.0,0.0,0.0,21.0428442,0.0
0,2031,scenario_1,22.09498641,0.0,0.0,22.09498641,0.0,0.0,0.0,0.0,22.09498641,0.0
0,2032,scenario_1,23.19973573,0.0,0.0,23.19973573,0.0,0.0,0.0,0.0,23.19973573,0.0
0,2033,scenario_1,24.35972252,0.0,0.0,24.35972252,0.0,0.0,0.0,0.0,24.35972252,0.0
0,2034,scenario_1,25.57770864,0.0,0.0,25.57770864,0.0,0.0,0.0,0.0,25.57770864,0.0
0,2035,scenario_1,26.85659408,0.0,0.0,26.85659408,0.0,0.0,0.0,0.0,26.85659408,0.0
1,2026,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2027,scenario_1,26.8947,0.0,0.0,26.8947,0.0,0.0,0.0,0.0,26.8947,0.0
1,2028,scenario_1,28.239435,0.0,0.0,28.239435,0.0,0.0,0.0,0.0,28.239435,0.0
1,2029,scenario_1,29.65140675,0.0,0.0,29.65140675,0.0,0.0,0.0,0.0,29.65140675,0.0
1,2030,scenario_1,31.13397709,0.0,0.0,31.13397709,0.0,0.0,0.0,0.0,31.13397709,0.0
1,2031,scenario_1,32.69067594,0.0,0.0,0.0,32.69067594,0.0,0.0,0.0,32.69067594,0.0
1,2032,scenario_1,34.32520974,0.0,0.0,34.32520974,0.0,0.0,0.0,0.0,34.32520974,0.0
1,2033,scenario_1,36.04147023,0.0,0.0,36.04147023,0.0,0.0,0.0,0.0,36.04147023,0.0
1,2034,scenario_1,37.84354374,0.0,0.0,37.84354374,0.0,0.0,0.0,0.0,37.84354374,0.0
1,2035,scenario_1,39.73572092,0.0,0.0,39.73572092,0.0,0.0,0.0,0.0,39.73572092,0.0
2,2026,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
2,2027,scenario_1,31.39605,0.0,0.0,31.39605,0.0,0.0,0.0,0.0,31.39605,0.0
2,2028,scenario_1,32.9658525,0.0,0.0,32.9658525,0.0,0.0,0.0,0.0,32.9658525,0.0
2,2029,scenario_1,34.61414513,0.0,0.0,34.61414513,0.0,0.0,0.0,0.0,34.61414513,0.0
2,2030,scenario_1,36.34485238,0.0,0.0,36.34485238,0.0,0.0,0.0,0.0,36.34485238,0.0
2,2031,scenario_1,38.162095,0.0,0.0,38.162095,0.0,0.0,0.0,0.0,38.162095,0.0
2,2032,scenario_1,40.07019975,0.0,0.0,40.07019975,0.0,0.0,0.0,0.0,40.07019975,0.0
2,2033,scenario_1,42.07370974,0.0,0.0,42.07370974,0.0,0.0,0.0,0.0,42.07370974,0.0
2,2034,scenario_1,44.17739522,0.0,0.0,44.17739522,0.0,0.0,0.0,0.0,44.17739522,0.0
2,2035,scenario_1,46.38626499,0.0,0.0,46.38626499,0.0,0.0,0.0,0.0,46.38626499,0.0
3,2026,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2027,scenario_1,40.35465,0.0,0.0,40.35465,0.0,0.0,0.0,0.0,40.35465,0.0
3,2028,scenario_1,42.3723825,0.0,0.0,42.3723825,0.0,0.0,0.0,0.0,42.3723825,0.0
3,2029,scenario_1,44.49100163,0.0,0.0,44.49100163,0.0,0.0,0.0,0.0,44.49100163,0.0
3,2030,scenario_1,46.71555171,0.0,0.0,46.71555171,0.0,0.0,0.0,0.0,46.71555171,0.0
3,2031,scenario_1,49.05132929,0.0,0.0,49.05132929,0.0,0.0,0.0,0.0,49.05132929,0.0
3,2032,scenario_1,51.50389576,0.0,0.0,51.50389576,0.0,0.0,0.0,0.0,51.50389576,0.0
3,2033,scenario_1,54.07909054,0.0,0.0,54.07909054,0.0,0.0,0.0,0.0,54.07909054,0.0
3,2034,scenario_1,56.78304507,0.0,0.0,56.78304507,0.0,0.0,0.0,0.0,56.78304507,0.0
3,2035,scenario_1,59.62219732,0.0,0.0,59.62219732,0.0,0.0,0.0,0.0,59.62219732,0.0
4,2026,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2027,scenario_1,56.3703,0.0,0.0,56.3703,0.0,0.0,0.0,0.0,56.3703,0.0
4,2028,scenario_1,59.188815,0.0,0.0,59.188815,0.0,0.0,0.0,0.0,59.188815,0.0
4,2029,scenario_1,62.14825575,0.0,0.0,62.14825575,0.0,0.0,0.0,0.0,62.14825575,0.0
4,2030,scenario_1,65.25566854,0.0,0.0,65.25566854,0.0,0.0,0.0,0.0,65.25566854,0.0
4,2031,scenario_1,68.51845196,0.0,0.0,68.51845196,0.0,0.0,0.0,0.0,68.51845196,0.0
4,2032,scenario_1,71.94437456,0.0,0.0,71.94437456,0.0,0.0,0.0,0.0,71.94437456,0.0
4,2033,scenario_1,75.54159329,0.0,0.0,75.54159329,0.0,0.0,0.0,0.0,75.54159329,0.0
4,2034,scenario_1,79.31867296,0.0,0.0,79.31867296,0.0,0.0,0.0,0.0,79.31867296,0.0
4,2035,scenario_1,83.2846066,0.0,0.0,83.2846066,0.0,0.0,0.0,0.0,83.2846066,0.0
5,2026,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2027,scenario_1,70.2114,0.0,0.0,70.2114,0.0,0.0,0.0,0.0,70.2114,0.0
5,2028,scenario_1,73.72197,0.0,0.0,73.72197,0.0,0.0,0.0,0.0,73.72197,0.0
5,2029,scenario_1,77.4080685,0.0,0.0,77.4080685,0.0,0.0,0.0,0.0,77.4080685,0.0
5,2030,scenario_1,81.27847193,0.0,0.0,81.27847193,0.0,0.0,0.0,0.0,81.27847193,0.0
5,2031,scenario_1,85.34239552,0.0,0.0,64.89156987569771,20.450825644302284,0.0,0.0,0.0,85.34239552,0.0
5,2032,scenario_1,89.6095153,0.0,0.0,89.6095153,0.0,0.0,0.0,0.0,89.6095153,0.0
5,2033,scenario_1,94.08999106,0.0,0.0,94.08999106,0.0,0.0,0.0,0.0,94.08999106,0.0
5,2034,scenario_1,98.79449062,0.0,0.0,98.79449062,0.0,0.0,0.0,0.0,98.79449062,0.0
5,2035,scenario_1,103.7342151,0.0,0.0,103.7342151,0.0,0.0,0.0,0.0,103.7342151,0.0
6,2026,scenario_1,10.6,0.2579338357084235,0.0,0.0,10.342066164291577,0.0,0.0,0.0,10.6,0.0
6,2027,scenario_1,11.13,0.2579338357084235,0.0,10.872066164291578,0.0,0.0,0.0,0.0,11.13,0.0
6,2028,scenario_1,11.6865,0.2579338357084235,0.0,11.428566164291578,0.0,0.0,0.0,0.0,11.6865,0.0
6,2029,scenario_1,12.270825,0.2579338357084235,0.0,12.012891164291577,0.0,0.0,0.0,0.0,12.270825,0.0
6,2030,scenario_1,12.88436625,0.2579338357084235,0.0,12.626432414291576,0.0,0.0,0.0,0.0,12.88436625,0.0
6,2031,scenario_1,13.52858456,0.32673154563968665,0.0,0.0,13.201853014360314,0.0,0.0,0.0,13.52858456,0.0
6,2032,scenario_1,14.20501379,0.32673154563968665,0.0,13.878282244360314,0.0,0.0,0.0,0.0,14.20501379,0.0
6,2033,scenario_1,14.91526448,0.32673154563968665,0.0,14.588532934360313,0.0,0.0,0.0,0.0,14.91526448,0.0
6,2034,scenario_1,15.6610277,0.32673154563968665,0.0,15.334296154360313,0.0,0.0,0.0,0.0,15.6610277,0.0
6,2035,scenario_1,16.44407909,0.32673154563968665,0.0,16.117347544360314,0.0,0.0,0.0,0.0,16.44407909,0.0
7,2026,scenario_1,222.357,118.66843763336566,0.0,0.0,103.68856236663434,0.0,0.0,0.0,222.357,0.0
7,2027,scenario_1,233.47485,118.66843763336566,0.0,114.80641236663435,0.0,0.0,0.0,0.0,233.47485,0.0
7,2028,scenario_1,245.1485925,118.66843763336566,0.0,126.48015486663435,0.0,0.0,0.0,0.0,245.1485925,0.0
7,2029,scenario_1,257.4060221,118.66843763336566,0.0,138.7375844666343,0.0,0.0,0.0,0.0,257.4060221,0.0
7,2030,scenario_1,270.2763232,118.66843763336566,0.0,151.6078855666343,0.0,0.0,0.0,0.0,270.2763232,0.0
7,2031,scenario_1,283.7901394,150.32041818052215,0.0,133.46972121947783,0.0,0.0,0.0,0.0,283.7901394,0.0
7,2032,scenario_1,297.9796464,150.32041818052215,0.0,147.65922821947782,0.0,0.0,0.0,0.0,297.9796464,0.0
7,2033,scenario_1,312.8786287,150.32041818052215,0.0,162.55821051947783,0.0,0.0,0.0,0.0,312.8786287,0.0
7,2034,scenario_1,328.5225601,150.32041818052215,0.0,178.20214191947787,0.0,0.0,0.0,0.0,328.5225601,0.0
7,2035,scenario_1,344.9486881,150.32041818052215,0.0,194.62826991947787,0.0,0.0,0.0,0.0,344.9486881,0.0
8,2026,scenario_1,250.941,260.922093561143,0.0,0.0,0.0,0.0,9.981093561143012,0.0,250.941,0.0
8,2027,scenario_1,263.48805,260.922093561143,0.0,2.565956438856972,0.0,0.0,0.0,0.0,263.48805,0.0
8,2028,scenario_1,276.6624525,260.922093561143,0.0,15.740358938856957,0.0,0.0,0.0,0.0,276.6624525,0.0
8,2029,scenario_1,290.4955751,260.922093561143,0.0,29.57348153885698,0.0,0.0,0.0,0.0,290.4955751,0.0
8,2030,scenario_1,305.0203539,260.922093561143,0.0,44.09826033885696,0.0,0.0,0.0,0.0,305.0203539,0.0
8,2031,scenario_1,320.2713716,330.51685013185374,0.0,0.0,0.0,0.0,10.245478531853735,0.0,320.2713716,0.0
8,2032,scenario_1,336.2849402,330.51685013185374,0.0,5.76809006814625,0.0,0.0,0.0,0.0,336.2849402,0.0
8,2033,scenario_1,353.0991872,330.51685013185374,0.0,22.582337068146273,0.0,0.0,0.0,0.0,353.0991872,0.0
8,2034,scenario_1,370.7541465,330.51685013185374,0.0,40.23729636814625,0.0,0.0,0.0,0.0,370.7541465,0.0
8,2035,scenario_1,389.2918538,330.51685013185374,0.0,58.77500366814627,0.0,0.0,0.0,0.0,389.2918538,0.0
9,2026,scenario_1,229.837,372.9031246735805,0.0,0.0,0.0,0.0,143.06612467358053,0.0,229.837,0.0
9,2027,scenario_1,241.32885,372.9031246735805,0.0,0.0,0.0,0.0,131.57427467358053,0.0,241.32885,0.0
9,2028,scenario_1,253.3952925,372.9031246735805,0.0,0.0,0.0,0.0,119.50783217358051,0.0,253.3952925,0.0
9,2029,scenario_1,266.0650571,372.9031246735805,0.0,0.0,0.0,0.0,106.83806757358053,0.0,266.0650571,0.0
9,2030,scenario_1,279.36831,372.9031246735805,0.0,0.0,0.0,0.0,93.53481467358051,0.0,279.36831,0.0
9,2031,scenario_1,293.3367255,472.3661553120104,0.0,0.0,0.0,0.0,179.0294298120104,0.0,293.3367255,0.0
9,2032,scenario_1,308.0035618,472.3661553120104,0.0,0.0,0.0,0.0,164.3625935120104,0.0,308.0035618,0.0
9,2033,scenario_1,323.4037398,472.3661553120104,0.0,0.0,0.0,0.0,148.9624155120104,0.0,323.4037398,0.0
9,2034,scenario_1,339.5739268,472.3661553120104,0.0,0.0,0.0,0.0,132.7922285120104,0.0,339.5739268,0.0
9,2035,scenario_1,356.5526232,472.3661553120104,0.0,0.0,0.0,0.0,115.81353211201036,0.0,356.5526232,0.0
10,2026,scenario_1,137.978,440.27574536921543,0.0,0.0,0.0,0.0,302.2977453692154,0.0,137.978,0.0
10,2027,scenario_1,144.8769,362.39320352306305,0.0,0.0,0.0,0.0,217.51630352306304,0.0,144.8769,0.0
10,2028,scenario_1,152.120745,398.55228879968035,0.0,0.0,0.0,0.0,246.43154379968033,0.0,152.12074500000003,2.842170943040401e-14
10,2029,scenario_1,159.7267823,418.8280906996803,0.0,0.0,0.0,0.0,259.1013083996803,0.0,159.72678229999997,-2.842170943040401e-14
10,2030,scenario_1,167.7131214,440.11768269968036,0.0,0.0,0.0,0.0,272.4045612996803,0.0,167.71312140000003,2.842170943040401e-14
10,2031,scenario_1,176.0987774,524.4682967960644,0.0,0.0,0.0,0.0,348.36951939606445,0.0,176.0987773999999,-8.526512829121202e-14
10,2032,scenario_1,184.9037163,533.2732356960644,0.0,0.0,0.0,0.0,348.36951939606445,0.0,184.90371629999993,-8.526512829121202e-14
10,2033,scenario_1,194.1489021,542.5184214960644,0.0,0.0,0.0,0.0,348.36951939606445,0.0,194.1489021,0.0
10,2034,scenario_1,203.8563472,552.2258665960644,0.0,0.0,0.0,0.0,348.36951939606445,0.0,203.85634719999996,-2.842170943040401e-14
10,2035,scenario_1,214.0491646,526.0462308169731,0.0,0.0,0.0,0.0,311.9970662169731,0.0,214.04916459999998,-2.842170943040401e-14
11,2026,scenario_1,13.329,315.6267453692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,13.329000000000008,7.105427357601002e-15
11,2027,scenario_1,13.99545,316.2931953692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,13.995450000000005,5.329070518200751e-15
11,2028,scenario_1,14.6952225,316.9929678692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,14.6952225,0.0
11,2029,scenario_1,15.42998363,317.7277289992154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,15.429983629999981,-1.9539925233402755e-14
11,2030,scenario_1,16.20148281,318.49922817921544,0.0,0.0,0.0,0.0,302.2977453692154,0.0,16.201482810000016,1.4210854715202004e-14
11,2031,scenario_1,17.01155695,319.3093023192154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,17.01155695,0.0
11,2032,scenario_1,17.86213479,320.1598801592154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,17.86213478999997,-2.842170943040401e-14
11,2033,scenario_1,18.75524153,321.0529868992154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,18.755241529999978,-2.1316282072803006e-14
11,2034,scenario_1,19.69300361,321.9907489792154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,19.693003610000005,3.552713678800501e-15
11,2035,scenario_1,20.67765379,322.97539915921544,0.0,0.0,0.0,0.0,302.2977453692154,0.0,20.677653790000022,2.1316282072803006e-14
12,2026,scenario_1,107.116,107.116,0.0,0.0,0.0,0.0,0.0,0.0,107.116,0.0
12,2027,scenario_1,112.4718,414.7695453692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,112.47179999999997,-2.842170943040401e-14
12,2028,scenario_1,118.09539,420.39313536921543,0.0,0.0,0.0,0.0,302.2977453692154,0.0,118.09539000000001,1.4210854715202004e-14
12,2029,scenario_1,124.0001595,426.2979048692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,124.0001595,0.0
12,2030,scenario_1,130.2001675,432.4979128692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,130.20016749999996,-2.842170943040401e-14
12,2031,scenario_1,136.7101758,182.78194982684903,0.0,0.0,0.0,0.0,46.07177402684903,0.0,136.7101758,0.0
12,2032,scenario_1,143.5456846,437.2660151149485,0.0,0.0,0.0,0.0,293.72033051494856,0.0,143.54568459999996,-2.842170943040401e-14
12,2033,scenario_1,150.7229689,499.09248829606446,0.0,0.0,0.0,0.0,348.36951939606445,0.0,150.7229689,0.0
12,2034,scenario_1,158.2591173,506.62863669606446,0.0,0.0,0.0,0.0,348.36951939606445,0.0,158.2591173,0.0
12,2035,scenario_1,166.1720732,514.5415925960644,0.0,0.0,0.0,0.0,348.36951939606445,0.0,166.1720732,0.0
13,2026,scenario_1,11.53,313.8277453692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,11.529999999999973,-2.6645352591003757e-14
13,2027,scenario_1,12.1065,314.4042453692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,12.106499999999983,-1.7763568394002505e-14
13,2028,scenario_1,12.711825,315.0095703692154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,12.711824999999976,-2.3092638912203256e-14
13,2029,scenario_1,13.34741625,315.6451616192154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,13.34741624999998,-1.9539925233402755e-14
13,2030,scenario_1,14.01478706,316.3125324292154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,14.014787060000003,3.552713678800501e-15
13,2031,scenario_1,14.71552642,317.0132717892154,0.0,0.0,0.0,0.0,302.2977453692154,0.0,14.715526420000003,3.552713678800501e-15
13,2032,scenario_1,15.45130274,51.19942341977641,0.0,0.0,0.0,0.0,35.74812067977641,0.0,15.451302739999996,-3.552713678800501e-15
13,2033,scenario_1,16.22386787,62.29564189684903,0.0,0.0,0.0,0.0,46.07177402684903,0.0,16.22386787,0.0
13,2034,scenario_1,17.03506127,63.10683529684903,0.0,0.0,0.0,0.0,46.07177402684903,0.0,17.03506127,0.0
13,2035,scenario_1,17.88681433,63.95858835684903,0.0,0.0,0.0,0.0,46.07177402684903,0.0,17.88681433,0.0
14,2026,scenario_1,114.441,205.81033189092864,0.0,0.0,0.0,0.0,91.36933189092863,0.0,114.441,0.0
14,2027,scenario_1,120.16305,120.16305,0.0,0.0,0.0,0.0,0.0,0.0,120.16305,0.0
14,2028,scenario_1,126.1712025,126.1712025,0.0,0.0,0.0,0.0,0.0,0.0,126.1712025,0.0
14,2029,scenario_1,132.4797626,132.4797626,0.0,0.0,0.0,0.0,0.0,0.0,132.4797626,0.0
14,2030,scenario_1,139.1037508,139.1037508,0.0,0.0,0.0,0.0,0.0,0.0,139.1037508,0.0
14,2031,scenario_1,146.0589383,386.4493654882645,0.0,0.0,0.0,0.0,240.3904271882645,0.0,146.0589383,0.0
14,2032,scenario_1,153.3618852,455.65963056921544,0.0,0.0,0.0,0.0,302.2977453692154,0.0,153.36188520000002,2.842170943040401e-14
14,2033,scenario_1,161.0299795,214.16113898901668,0.0,0.0,0.0,0.0,53.13115948901668,0.0,161.0299795,0.0
14,2034,scenario_1,169.0814784,255.18930258901662,0.0,0.0,0.0,0.0,86.1078241890166,0.0,169.08147840000004,2.842170943040401e-14
14,2035,scenario_1,177.5355524,326.8770792629382,0.0,0.0,0.0,0.0,149.34152686293817,0.0,177.53555240000003,2.842170943040401e-14
15,2026,scenario_1,107.333,107.333,0.0,0.0,0.0,0.0,0.0,0.0,107.333,0.0
15,2027,scenario_1,112.69965,112.69965,0.0,0.0,0.0,0.0,0.0,0.0,112.69965,0.0
15,2028,scenario_1,118.3346325,118.3346325,0.0,0.0,0.0,0.0,0.0,0.0,118.3346325,0.0
15,2029,scenario_1,124.2513641,124.2513641,0.0,0.0,0.0,0.0,0.0,0.0,124.2513641,0.0
15,2030,scenario_1,130.4639323,130.4639323,0.0,0.0,0.0,0.0,0.0,0.0,130.4639323,0.0
15,2031,scenario_1,136.9871289,146.68644974775768,0.0,0.0,0.0,0.0,9.69932084775768,0.0,136.9871289,0.0
15,2032,scenario_1,143.8364854,143.8364854,0.0,0.0,0.0,0.0,0.0,0.0,143.8364854,0.0
15,2033,scenario_1,151.0283097,359.4365764520104,0.0,0.0,0.0,0.0,208.4082667520104,0.0,151.0283097,0.0
15,2034,scenario_1,158.5797251,359.4365764520104,0.0,0.0,0.0,0.0,200.8568513520104,0.0,158.5797251,0.0
15,2035,scenario_1,166.5087114,359.4365764520104,0.0,0.0,0.0,0.0,192.9278650520104,0.0,166.5087114,0.0
16,2026,scenario_1,131.548,154.9741977766172,0.0,0.0,0.0,0.0,23.426197776617187,0.0,131.548,0.0
16,2027,scenario_1,138.1254,154.9741977766172,0.0,0.0,0.0,0.0,16.848797776617175,0.0,138.1254,0.0
16,2028,scenario_1,145.03167,145.03167,0.0,0.0,0.0,0.0,0.0,0.0,145.03167,0.0
16,2029,scenario_1,152.2832535,152.2832535,0.0,0.0,0.0,0.0,0.0,0.0,152.2832535,0.0
16,2030,scenario_1,159.8974162,154.9741977766172,0.0,4.923218423382821,0.0,0.0,0.0,0.0,159.8974162,0.0
16,2031,scenario_1,167.892287,196.3098754948303,0.0,0.0,0.0,0.0,28.417588494830284,0.0,167.892287,0.0
16,2032,scenario_1,176.2869013,196.3098754948303,0.0,0.0,0.0,0.0,20.022974194830283,0.0,176.2869013,0.0
16,2033,scenario_1,185.1012464,196.3098754948303,0.0,0.0,0.0,0.0,11.208629094830275,0.0,185.1012464,0.0
16,2034,scenario_1,194.3563087,196.3098754948303,0.0,0.0,0.0,0.0,1.9535667948302944,0.0,194.3563087,0.0
16,2035,scenario_1,204.0741242,196.3098754948303,0.0,0.0,7.764248705169706,0.0,0.0,0.0,204.0741242,0.0
17,2026,scenario_1,177.208,14.450585868835336,0.0,162.75741413116467,0.0,0.0,0.0,0.0,177.208,0.0
17,2027,scenario_1,186.0684,14.450585868835336,0.0,0.0,171.61781413116466,0.0,0.0,0.0,186.0684,0.0
17,2028,scenario_1,195.37182,14.450585868835336,0.0,0.0,180.92123413116468,0.0,0.0,0.0,195.37182,0.0
17,2029,scenario_1,205.140411,14.450585868835336,0.0,0.0,190.68982513116467,0.0,0.0,0.0,205.140411,0.0
17,2030,scenario_1,215.3974316,14.450585868835336,0.0,200.94684573116467,0.0,0.0,0.0,0.0,215.3974316,0.0
17,2031,scenario_1,226.1673031,18.304935617911227,0.0,0.0,207.86236748208876,0.0,0.0,0.0,226.16730309999997,-2.842170943040401e-14
17,2032,scenario_1,237.4756683,18.304935617911227,0.0,0.0,219.17073268208878,0.0,0.0,0.0,237.4756683,0.0
17,2033,scenario_1,249.3494517,18.304935617911227,0.0,231.04451608208876,0.0,0.0,0.0,0.0,249.34945169999997,-2.842170943040401e-14
17,2034,scenario_1,261.8169243,18.304935617911227,0.0,0.0,243.51198868208877,0.0,0.0,0.0,261.8169243,0.0
17,2035,scenario_1,274.9077705,18.304935617911227,0.0,0.0,256.6028348820888,0.0,0.0,0.0,274.9077705,0.0
18,2026,scenario_1,274.324,0.0,0.0,0.0,274.324,0.0,0.0,0.0,274.324,0.0
18,2027,scenario_1,288.0402,0.0,0.0,0.0,288.0402,0.0,0.0,0.0,288.0402,0.0
18,2028,scenario_1,302.44221,0.0,0.0,286.92248563474607,15.519724365253932,0.0,0.0,0.0,302.44221,0.0
18,2029,scenario_1,317.5643205,0.0,0.0,317.5643205,0.0,0.0,0.0,0.0,317.5643205,0.0
18,2030,scenario_1,333.4425365,0.0,0.0,263.37104461379664,70.07149188620336,0.0,0.0,0.0,333.4425365,0.0
18,2031,scenario_1,350.1146634,0.0,0.0,258.0447163119108,92.06994708808917,0.0,0.0,0.0,350.1146634,0.0
18,2032,scenario_1,367.6203965,0.0,0.0,367.6203965,0.0,0.0,0.0,0.0,367.6203965,0.0
18,2033,scenario_1,386.0014163,0.0,0.0,266.3171657641171,119.68425053588295,0.0,0.0,0.0,386.0014163,0.0
18,2034,scenario_1,405.3014872,0.0,0.0,405.3014872,0.0,0.0,0.0,0.0,405.3014872,0.0
18,2035,scenario_1,425.5665615,0.0,0.0,425.5665615,0.0,0.0,0.0,0.0,425.5665615,0.0
19,2026,scenario_1,294.662,0.0,0.0,0.0,294.662,0.0,0.0,0.0,294.662,0.0
19,2027,scenario_1,309.3951,0.0,0.0,309.3951,0.0,0.0,0.0,0.0,309.3951,0.0
19,2028,scenario_1,324.864855,0.0,0.0,324.864855,0.0,0.0,0.0,0.0,324.864855,0.0
19,2029,scenario_1,341.1080978,0.0,0.0,341.1080978,0.0,0.0,0.0,0.0,341.1080978,0.0
19,2030,scenario_1,358.1635026,0.0,0.0,55.865757230784595,302.2977453692154,0.0,0.0,0.0,358.1635026,0.0
19,2031,scenario_1,376.0716778,0.0,0.0,329.99990377315095,46.07177402684903,0.0,0.0,0.0,376.0716778,0.0
19,2032,scenario_1,394.8752617,0.0,0.0,348.803487673151,46.07177402684903,0.0,0.0,0.0,394.8752617,0.0
19,2033,scenario_1,414.6190247,0.0,0.0,66.24950530393556,348.36951939606445,0.0,0.0,0.0,414.6190247,0.0
19,2034,scenario_1,435.349976,0.0,0.0,258.51762863449653,176.83234736550352,0.0,0.0,0.0,435.3499760000001,5.684341886080802e-14
19,2035,scenario_1,457.1174748,0.0,0.0,392.98819765631123,64.12927714368881,0.0,0.0,0.0,457.1174748,0.0
20,2026,scenario_1,258.803,0.0,0.0,0.0,258.803,0.0,0.0,0.0,258.803,0.0
20,2027,scenario_1,271.74315,0.0,0.0,184.329107636723,87.41404236327703,0.0,0.0,0.0,271.74315,0.0
20,2028,scenario_1,285.3303075,0.0,0.0,0.0,285.3303075,0.0,0.0,0.0,285.3303075,0.0
20,2029,scenario_1,299.5968229,0.0,0.0,61.88222537974613,237.71459752025388,0.0,0.0,0.0,299.5968229,0.0
20,2030,scenario_1,314.576664,0.0,0.0,314.576664,0.0,0.0,0.0,0.0,314.576664,0.0
20,2031,scenario_1,330.3054972,0.0,0.0,28.00775183078457,302.2977453692154,0.0,0.0,0.0,330.3054972,0.0
20,2032,scenario_1,346.8207721,0.0,0.0,90.81004167769532,256.0107304223047,0.0,0.0,0.0,346.8207721,0.0
20,2033,scenario_1,364.1618107,0.0,0.0,364.1618107,0.0,0.0,0.0,0.0,364.1618107,0.0
20,2034,scenario_1,382.3699012,0.0,0.0,382.3699012,0.0,0.0,0.0,0.0,382.3699012,0.0
20,2035,scenario_1,401.4883963,0.0,0.0,401.4883963,0.0,0.0,0.0,0.0,401.4883963,0.0
21,2026,scenario_1,158.622,0.0,0.0,0.0,158.622,0.0,0.0,0.0,158.622,0.0
21,2027,scenario_1,166.5531,0.0,0.0,0.0,166.5531,0.0,0.0,0.0,166.5531,0.0
21,2028,scenario_1,174.880755,0.0,0.0,0.0,174.880755,0.0,0.0,0.0,174.880755,0.0
21,2029,scenario_1,183.6247928,0.0,0.0,0.0,183.6247928,0.0,0.0,0.0,183.6247928,0.0
21,2030,scenario_1,192.8060324,0.0,0.0,0.0,192.8060324,0.0,0.0,0.0,192.8060324,0.0
21,2031,scenario_1,202.446334,0.0,0.0,0.0,202.446334,0.0,0.0,0.0,202.446334,0.0
21,2032,scenario_1,212.5686507,0.0,0.0,0.0,212.5686507,0.0,0.0,0.0,212.5686507,0.0
21,2033,scenario_1,223.1970832,0.0,0.0,0.0,223.1970832,0.0,0.0,0.0,223.1970832,0.0
21,2034,scenario_1,234.3569374,0.0,0.0,0.0,234.3569374,0.0,0.0,0.0,234.3569374,0.0
21,2035,scenario_1,246.0747843,0.0,0.0,0.0,246.0747843,0.0,0.0,0.0,246.0747843,0.0
22,2026,scenario_1,68.128,0.0,0.0,0.0,68.128,0.0,0.0,0.0,68.128,0.0
22,2027,scenario_1,71.5344,0.0,0.0,0.0,71.5344,0.0,0.0,0.0,71.5344,0.0
22,2028,scenario_1,75.11112,0.0,0.0,0.0,75.11112,0.0,0.0,0.0,75.11112,0.0
22,2029,scenario_1,78.866676,0.0,0.0,0.0,78.866676,0.0,0.0,0.0,78.866676,0.0
22,2030,scenario_1,82.8100098,0.0,0.0,0.0,82.8100098,0.0,0.0,0.0,82.8100098,0.0
22,2031,scenario_1,86.95051029,0.0,0.0,0.0,86.95051029,0.0,0.0,0.0,86.95051029,0.0
22,2032,scenario_1,91.2980358,0.0,0.0,0.0,91.2980358,0.0,0.0,0.0,91.2980358,0.0
22,2033,scenario_1,95.86293759,0.0,0.0,0.0,95.86293759,0.0,0.0,0.0,95.86293759,0.0
22,2034,scenario_1,100.6560845,0.0,0.0,0.0,100.6560845,0.0,0.0,0.0,100.6560845,0.0
