meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
2641;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2642;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2643;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2644;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2645;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2646;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2647;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2648;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2649;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2650;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2651;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2652;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2653;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2654;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2655;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2656;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2657;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2658;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2659;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2660;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2661;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2662;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2663;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2664;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2665;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2666;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2667;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2668;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2669;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2670;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2671;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2672;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2673;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2674;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2675;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2676;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2677;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2678;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2679;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2680;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2681;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2682;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2683;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2684;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2685;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2686;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2687;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2688;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2689;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2690;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2691;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2692;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2693;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2694;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2695;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2696;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2697;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2698;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2699;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2700;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2701;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2702;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2703;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2704;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2705;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2706;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2707;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2708;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2709;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2710;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2711;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2712;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2713;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2714;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2715;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2716;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2717;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2718;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2719;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2720;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2721;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2722;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2723;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2724;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2725;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2726;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2727;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2728;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2729;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2730;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2731;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2732;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2733;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2734;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2735;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2736;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2737;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2738;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2739;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2740;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2741;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2742;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2743;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2744;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2745;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2746;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2747;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2748;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2749;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2750;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2751;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2752;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2753;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2754;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2755;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2756;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2757;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2758;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2759;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2760;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2761;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2762;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2763;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2764;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2765;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2766;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2767;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2768;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2769;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2770;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2771;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2772;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2773;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2774;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
2775;48,127;50,53335;53,0600175;55,71301838;58,49866929;61,42360276;64,4947829;67,71952204;71,10549814;74,66077305
2776;55,167;57,92535;60,8216175;63,86269838;67,05583329;70,40862496;73,92905621;77,62550902;81,50678447;85,58212369
2777;72,387;76,00635;79,8066675;83,79700088;87,98685092;92,38619346;97,00550314;101,8557783;106,9485672;112,2959956
2778;80,067;84,07035;88,2738675;92,68756088;97,32193892;102,1880359;107,2974377;112,6623095;118,295425;124,2101963
2779;69,965;73,46325;77,1364125;80,99323313;85,04289478;89,29503952;93,7597915;98,44778107;103,3701701;108,5386786
2780;51,829;54,42045;57,1414725;59,99854613;62,99847343;66,1483971;69,45581696;72,92860781;76,5750382;80,40379011
2781;51,709;54,29445;57,0091725;59,85963113;62,85261268;65,99524332;69,29500548;72,75975576;76,39774354;80,21763072
2782;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2783;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2784;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2785;18,941;19,88805;20,8824525;21,92657513;23,02290388;24,17404908;25,38275153;26,65188911;27,98448356;29,38370774
2786;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2787;17,101;17,95605;18,8538525;19,79654513;20,78637238;21,825691;22,91697555;24,06282433;25,26596554;26,52926382
2788;41,381;43,45005;45,6225525;47,90368013;50,29886413;52,81380734;55,4544977;58,22722259;61,13858372;64,19551291
2789;34,165;35,87325;37,6669125;39,55025813;41,52777103;43,60415958;45,78436756;48,07358594;50,47726524;53,0011285
2790;51,465;54,03825;56,7401625;59,57717063;62,55602916;65,68383061;68,96802214;72,41642325;76,03724441;79,83910664
2791;63,629;66,81045;70,1509725;73,65852113;77,34144718;81,20851954;85,26894552;89,53239279;94,00901243;98,70946305
2792;52,661;55,29405;58,0587525;60,96169013;64,00977463;67,21026336;70,57077653;74,09931536;77,80428113;81,69449518
2793;56,951;59,79855;62,7884775;65,92790138;69,22429644;72,68551127;76,31978683;80,13577617;84,14256498;88,34969323
2794;57,119;59,97495;62,9736975;66,12238238;69,42850149;72,89992657;76,5449229;80,37216904;84,39077749;88,61031637
2795;52,259;54,87195;57,6155475;60,49632488;63,52114112;66,69719817;70,03205808;73,53366099;77,21034404;81,07086124
2796;42,623;44,75415;46,9918575;49,34145038;51,80852289;54,39894904;57,11889649;59,97484131;62,97358338;66,12226255
2797;43,487;45,66135;47,9444175;50,34163838;52,85872029;55,50165631;58,27673912;61,19057608;64,25010488;67,46261013
2798;41,327;43,39335;45,5630175;47,84116838;50,23322679;52,74488813;55,38213254;58,15123917;61,05880113;64,11174118
